Frequence Fondamentale (Hz),Amplitude Maximale
2013.9412866958153,5336602.224295691
2019.537788881949,5315826.528374132
2011.9425359150532,5292104.694688754
2014.5409119300439,5313911.948565842
2013.541536539663,5294922.1496822545
2017.5390381011869,5325132.095847029
2015.740162398501,5392684.27668674
2011.1430356027483,5349181.710075312
2016.539662710806,5306180.633681081
2007.745159275453,5327836.389355592
2020.7370393504061,5335587.097573922
2009.743910056215,5300083.91363196
2017.9387882573394,5318327.174622231
2011.1430356027483,5301841.662438819
2013.741411617739,5357161.382767415
2006.3460337289196,5300107.7179468535
2012.5421611492818,5367194.395189348
2004.5471580262338,5363737.6420193715
2008.1449094316054,5443519.094240398
2012.1424109931295,5284127.619924259
2016.3397876327297,5276851.746176774
2004.74703310431,5327087.226143177
2012.9419113054344,5368670.236432305
2013.9412866958153,5288900.474495747
2008.9444097439102,5389257.440057278
2008.1449094316054,5327547.1651690975
2006.1461586508433,5414063.421264449
2020.7370393504061,5335003.8155440055
2011.1430356027483,5391264.010850411
2014.5409119300439,5337017.405422636
2012.742036227358,5314379.071992973
2014.7407870081202,5264671.57913552
2010.5434103685197,5344403.9640089255
2010.5434103685197,5386785.8725636825
2008.544659587758,5318898.645431613
2014.7407870081202,5381096.963892992
2020.1374141161775,5245947.372304844
2011.742660836977,5375101.108593311
2009.1442848219865,5458721.096536377
2016.7395377888822,5410033.209022219
2011.9425359150532,5331878.497517359
2002.748282323548,5372347.22373449
2013.741411617739,5421317.905773562
2001.1492816989382,5336614.747977899
2004.1474078700815,5294263.8810648825
2019.3379138038727,5348828.2629980175
2015.9400374765773,5392877.782241192
2011.1430356027483,5378477.877724411
2019.3379138038727,5363971.4660039395
2015.9400374765773,5211822.380013011
2010.1436602123674,5278128.357590551
2015.1405371642725,5335282.899630311
2010.3435352904437,5406042.409140436
2007.9450343535293,5326048.2074751435
2011.3429106808246,5262220.347086664
2011.1430356027483,5331868.2383567635
2016.1399125546534,5305558.286539385
2014.1411617738916,5315972.279701943
2006.3460337289196,5357842.698200978
2007.5452841973768,5337856.434154472
2018.9381636477203,5350893.797589367
2023.9350405996254,5388165.483258613
2002.748282323548,5291262.634433318
